type,word
adjective,Ancient
adjective,Dark
adjective,Forgotten
adjective,Hidden
adjective,Lost
adjective,Mystical
adjective,Shadow
adjective,Eternal
adjective,Crystal
adjective,Frozen
adjective,Golden
adjective,Silver
adjective,Emerald
adjective,Azure
adjective,Crimson
adjective,Obsidian
adjective,Whispering
adjective,Thunder
adjective,Storm
adjective,Blood
adjective,Iron
adjective,Steel
adjective,Fire
adjective,Ice
adjective,Sacred
adjective,Cursed
adjective,Blessed
adjective,Divine
adjective,Arcane
adjective,Enchanted
adjective,Haunted
adjective,Radiant
noun,Realm
noun,Kingdom
noun,Land
noun,World
noun,Domain
noun,Empire
noun,Valley
noun,Mountain
noun,Forest
noun,Desert
noun,Ocean
noun,Island
noun,Castle
noun,Temple
noun,Cave
noun,Garden
noun,Throne
noun,Crown
noun,Sword
noun,Shield
noun,Fortress
noun,Citadel
noun,Sanctuary
noun,Haven
noun,Abyss
noun,Peak
noun,Grove
noun,Spire
noun,Forge
noun,Keep
noun,Burg
noun,Stead
suffix,ia
suffix,land
suffix,realm
suffix,world
suffix,haven
suffix,spire
suffix,forge
suffix,keep
suffix,burg
suffix,stead
